01:29 AM [<#482623418802503711>] (396666992045719552)Fornaks: batu
01:29 AM [<#482623418802503711>] (396666992045719552)Fornaks: kanka dolar bilmek istiyorsan benim botumda o özellik var ekle sunucuna
01:29 AM [<#482623418802503711>] (396666992045719552)Fornaks: yemin ederim kötü amaçlı değil bot
10:54 PM [<#482623418802503711>] (308558301925343232)Qatu: ;play suriye marşı
10:54 PM [<#482623418802503711>] (323029989563826187)Garip Kont: ;;play tsk operasyonn müziği
10:54 PM [<#482623418802503711>] (323029989563826187)Garip Kont: ;;1
10:55 PM [<#482623418802503711>] (308558301925343232)Qatu: ;;play suriye marşı
10:55 PM [<#482623418802503711>] (308558301925343232)Qatu: ;;skip
10:55 PM [<#482623418802503711>] (308558301925343232)Qatu: ;;play suriye marşı
10:55 PM [<#482623418802503711>] (308558301925343232)Qatu: ;;play 1
10:55 PM [<#482623418802503711>] (323029989563826187)Garip Kont: ;;stop
10:55 PM [<#482623418802503711>] (308558301925343232)Qatu: ;;play suriye marşı
10:55 PM [<#482623418802503711>] (308558301925343232)Qatu: ;;play 12
10:55 PM [<#482623418802503711>] (308558301925343232)Qatu: ;;play 1
10:56 PM [<#482623418802503711>] (323029989563826187)Garip Kont: ;;stop
